"DateAndTime","BLOCK_1_INV_1","BLOCK_1_INV_2","BLOCK_2_INV_1","BLOCK_2_INV_2","BLOCK_3_INV_1","BLOCK_3_INV_2","BLOCK_4_INV_1","BLOCK_4_INV_2","BLOCK_5_INV_1","BLOCK_5_INV_2","BLOCK_6_INV_1","BLOCK_6_INV_2","BLOCK_7_INV_1","BLOCK_7_INV_2","BLOCK_8_INV_1","BLOCK_8_INV_2","BLOCK_9_INV_1","BLOCK_9_INV_2","BLOCK_10_INV_1","BLOCK_10_INV_2","Block1_MFM_Exp","Block2_MFM_Exp","Block3_MFM_Exp","Block4_MFM_Exp","Block5_MFM_Exp","Block6_MFM_Exp","Block7_MFM_Exp","Block8_MFM_Exp","Block9_MFM_Exp","Block10_MFM_Exp","Irr_Hz","Irr_Tilt","Irr_Tracker1","Irr_Tracker2","Sesional_PR","Tracker_PR","Total_PR","CUF","Sesional_Gen","Tracker_Gen","Inv","OG_11KV","OG_132KV_T","OG_132KV_A","Loss","Plant_Start_Tm","Plant_Stop_Tm","Plant_UP_Tm","Plant_Dwn_Tm","BLOCK_1_INV_1_Tm","BLOCK_1_INV_2_Tm","BLOCK_2_INV_1_Tm","BLOCK_2_INV_2_Tm","BLOCK_3_INV_1_Tm","BLOCK_3_INV_2_Tm","BLOCK_4_INV_1_Tm","BLOCK_4_INV_2_Tm","BLOCK_5_INV_1_Tm","BLOCK_5_INV_2_Tm","BLOCK_6_INV_1_Tm","BLOCK_6_INV_2_Tm","BLOCK_7_INV_1_Tm","BLOCK_7_INV_2_Tm","BLOCK_8_INV_1_Tm","BLOCK_8_INV_2_Tm","BLOCK_9_INV_1_Tm","BLOCK_9_INV_2_Tm","BLOCK_10_INV_1_Tm","BLOCK_10_INV_2_Tm"
2018-12-10 23:50:41,13665.70,13303.70,12961.40,12737.40,12601.80,12793.90,12885.80,12856.80,13193.10,13010.70,13559.50,13292.90,12557.80,13452.80,12269.90,13030.60,10359.50,11666.80,12988.40,13483.00,26.96,25.70,25.37,25.75,26.17,26.77,25.87,25.22,21.96,26.39,5.15,4.19,5.36,4.15,89.87,93.96,91.91,15.85,117.21,138.95,256.67,256.78,252.90,253.25,25.39,"6:55","17:56","10:37","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-11 23:51:01,15703.00,15317.90,14540.70,14442.70,14243.00,14716.40,14862.20,14839.00,15147.90,14333.20,15364.10,15234.40,14237.00,15477.10,13917.30,14851.70,8040.60,13056.90,14672.30,15275.90,31.00,28.97,28.91,29.67,29.43,30.46,29.51,28.65,21.04,29.83,5.82,4.63,6.12,4.57,89.95,96.71,93.18,17.79,133.54,153.94,288.27,288.16,283.82,284.25,25.76,"6:56","17:57","10:36","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-12 23:51:05,12782.80,12431.40,11887.00,12304.30,11409.00,11854.40,11889.80,11807.30,12416.60,11869.60,12941.90,12801.00,11984.50,13095.40,11691.10,12427.40,6534.60,11122.80,12582.60,13040.60,25.21,24.19,23.23,23.69,24.25,25.66,24.94,24.04,17.62,25.54,4.90,4.02,4.91,3.95,87.50,90.27,88.95,14.75,108.27,130.10,238.87,238.96,235.38,235.62,27.04,"6:59","17:57","10:32","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-13 23:50:49,11747.60,11294.90,10648.20,10671.90,10125.10,10584.60,10807.30,10815.10,11020.60,10608.60,11558.20,11412.50,10765.90,11786.50,10483.40,11194.90,5916.30,10014.40,10964.20,11355.90,23.05,21.34,20.70,21.64,21.61,22.92,22.45,21.63,15.91,22.27,4.52,3.72,4.41,3.69,84.20,87.98,86.10,13.21,97.65,115.84,213.78,214.03,210.83,211.12,29.08,"6:58","17:57","10:32","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-14 23:50:51,10873.50,10540.80,10109.30,10400.40,9676.40,10047.80,10152.50,10186.00,10473.50,10112.30,11091.00,10985.50,10214.10,11185.70,9975.50,10654.10,5478.70,9318.60,10670.50,11054.80,21.42,20.53,19.72,20.36,20.58,22.04,21.31,20.59,14.78,21.68,4.22,3.57,4.14,3.56,84.12,86.75,85.51,12.56,92.18,110.80,203.20,203.50,200.48,200.75,27.92,"7:8","17:57","10:23","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-15 23:50:51,12203.20,11852.30,11541.00,11403.30,11296.20,11485.30,11539.10,11462.20,11761.30,11380.30,12133.80,11996.20,11157.30,12199.00,10889.70,11651.30,7849.70,10101.10,11492.40,11975.90,24.07,22.96,22.77,23.02,23.13,24.08,23.26,22.49,17.92,23.42,4.59,3.81,4.75,3.77,87.09,92.05,89.54,14.06,104.53,122.58,227.37,227.71,224.32,224.62,25.85,"7:0","17:58","10:30","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-16 23:50:54,15090.10,14679.30,14258.60,14048.30,13842.20,14017.40,14185.00,14124.20,14559.10,13964.70,14856.00,14770.90,13811.20,15105.10,13425.00,14592.70,10761.40,12516.50,14274.30,14840.60,29.76,28.31,27.82,28.30,28.48,29.51,28.73,27.90,23.21,29.01,5.65,4.54,5.77,4.42,90.89,95.06,93.00,17.40,128.62,152.41,281.72,281.79,277.57,277.76,25.34,"6:59","18:1","10:38","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-17 23:50:58,13166.10,12833.60,12481.40,12363.50,12305.30,12417.60,12439.80,12465.70,12980.20,12156.50,13179.40,13201.30,12503.00,13537.90,12170.40,13349.20,9680.00,11252.00,12898.80,13400.20,25.99,24.85,24.69,24.89,25.10,26.29,25.89,25.42,20.87,26.20,4.88,4.02,5.07,4.06,92.29,94.45,93.46,15.48,113.15,137.04,250.78,250.77,247.01,247.37,22.99,"7:4","17:56","10:26","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-18 23:50:59,15418.80,14541.50,14201.90,14254.60,13784.60,13966.40,14414.40,14420.90,14617.20,13466.50,15570.90,15682.70,14868.30,15786.30,14030.30,15262.10,11078.80,12703.20,14325.50,14919.20,29.93,28.43,27.69,28.79,28.02,31.09,30.41,29.14,23.69,29.11,5.84,4.74,5.62,4.53,89.95,90.95,90.60,17.72,128.63,157.69,287.31,286.98,282.62,283.00,26.33,"7:3","18:3","10:34","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-19 23:51:04,17144.90,16725.10,16190.70,15793.00,15970.70,16139.00,16235.70,16082.60,16560.70,16162.40,16701.30,17076.40,16108.30,16895.10,15206.00,16508.80,11952.50,13631.70,16051.90,16735.90,33.85,31.97,32.04,32.27,32.65,33.60,32.75,31.54,25.48,32.64,6.30,4.96,6.43,4.85,93.70,99.36,96.44,19.72,146.99,171.81,319.87,319.54,314.77,315.00,23.97,"6:55","18:2","10:41","0:1","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-20 23:51:08,17161.70,16790.90,16185.60,15613.20,15989.20,16133.80,16279.20,16158.90,16845.00,15594.60,16531.80,16928.60,15887.50,16629.40,15046.20,16443.40,11605.90,13231.80,15830.60,16516.60,33.94,31.79,32.06,32.40,32.38,33.30,32.28,31.34,24.76,32.21,6.34,4.94,6.46,4.83,92.79,99.71,96.09,19.58,146.96,169.50,317.41,317.17,312.51,312.74,25.04,"6:57","18:2","10:40","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-21 23:51:08,16083.60,15731.20,15126.20,14754.10,14807.30,15161.70,15082.00,15122.60,15630.30,14732.50,15765.10,16044.70,14981.20,15699.30,14221.30,15566.10,10804.40,12366.20,15041.50,15673.90,31.81,29.87,29.92,30.18,30.31,31.67,30.48,29.66,23.10,30.60,6.02,4.71,6.15,4.62,92.03,97.76,94.80,18.41,137.34,160.25,298.40,298.27,293.87,294.13,25.72,"6:59","18:1","10:37","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-22 23:50:39,8573.10,8423.30,8437.50,8321.40,8093.50,8035.90,8131.00,8054.30,8250.40,7838.30,8907.60,9068.50,8359.30,8778.40,7912.50,8635.20,2987.60,6678.40,8521.60,8839.70,17.00,16.77,16.12,16.19,16.08,17.92,17.06,16.51,9.64,17.29,3.42,2.71,3.33,2.69,86.67,91.42,88.92,9.93,73.82,86.74,160.85,160.82,158.48,158.88,29.51,"7:2","0:0","6:14","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","1:58","0:0","0:0","0:0"
2018-12-23 23:50:42,9224.60,9037.50,9266.70,8929.90,8824.80,8672.90,8848.40,8628.90,8925.60,8665.00,9454.70,9661.40,8859.10,9325.10,8396.70,9166.70,1667.90,6947.20,9140.10,9474.40,18.26,18.16,17.46,17.46,17.54,19.01,18.05,17.49,8.59,18.54,3.68,2.88,3.58,2.83,85.27,93.30,89.08,10.56,79.99,90.61,171.12,171.04,168.56,168.75,30.33,"7:2","0:0","6:14","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","2:30","0:0","0:0","0:0"
2018-12-25 13:20:30,8552.40,8386.70,8556.50,8149.20,8258.40,7871.30,7976.10,7858.60,8173.10,7950.40,8548.70,8667.20,8052.00,8470.90,7627.30,8324.10,857.60,6284.20,8497.60,8799.10,16.94,16.70,16.11,15.85,16.11,17.18,16.45,15.88,7.12,17.23,3.44,2.70,3.30,2.64,82.34,91.58,86.59,9.62,73.58,82.00,155.86,155.81,153.58,154.01,32.03,"7:3","0:0","6:13","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","2:46","0:0","0:0","0:0"
2018-12-26 13:20:31,8382.10,8123.90,8695.40,8104.50,8314.10,7923.60,8049.40,7865.00,8080.80,7862.20,8722.10,8852.00,8104.30,8564.70,7674.70,8358.40,0.00,6372.60,8153.60,8434.40,16.51,16.80,16.22,15.89,15.90,17.49,16.55,15.96,6.34,16.53,3.35,2.66,3.20,2.62,82.47,92.45,87.14,9.54,73.22,80.96,154.64,154.56,152.32,152.62,30.86,"7:6","0:0","6:10","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","6:10","0:0","0:0","0:0"
2018-12-27 13:20:35,9892.80,9747.70,10126.70,9671.00,9849.60,9190.40,9435.30,9372.70,9558.80,9298.40,10292.60,10494.00,9545.40,10042.60,9046.90,9878.90,0.00,7566.20,9878.30,10231.10,19.61,19.76,18.99,18.77,18.81,20.67,19.45,18.84,7.54,20.03,3.86,3.00,3.77,2.96,86.68,96.40,91.27,11.30,86.31,96.19,183.11,183.01,180.35,180.62,28.98,"7:4","0:0","6:12","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","6:12","0:0","0:0","0:0"
2018-12-28 13:20:38,10141.00,9979.80,10330.40,9778.20,10092.10,9501.50,9757.50,9542.00,9753.30,9486.80,10330.80,10583.70,9591.70,10083.20,9101.90,9957.70,0.00,7596.20,9963.20,10340.80,20.11,20.09,19.54,19.27,19.20,20.81,19.54,18.97,7.57,20.23,3.96,3.09,3.87,3.02,84.81,95.96,90.05,11.47,88.44,96.89,185.91,185.87,183.23,183.38,29.69,"7:3","0:0","6:13","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","6:13","0:0","0:0","0:0"
2018-12-29 13:20:41,10580.30,10349.90,10724.50,10099.30,10420.00,9860.80,10102.80,9925.50,10128.10,9834.90,10676.30,10939.20,9900.30,10413.90,9388.60,10281.80,1786.30,7815.80,10305.80,10679.50,20.94,20.82,20.24,20.01,19.94,21.51,20.14,19.55,9.56,20.88,4.12,3.21,4.04,3.13,85.92,96.16,90.65,11.97,91.86,101.74,194.21,193.95,191.18,191.37,29.42,"7:1","0:0","6:15","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","4:51","0:0","0:0","0:0"
2018-12-30 13:20:45,10398.90,10130.00,10489.40,9971.90,10224.20,9707.80,9814.80,9710.30,9893.40,9616.40,10422.80,10665.20,9639.10,10130.60,9132.00,9974.00,5959.30,7540.60,10028.60,10404.60,20.52,20.44,19.88,19.50,19.48,20.98,19.64,19.02,13.48,20.37,4.01,3.12,3.92,3.05,89.64,96.51,92.79,11.95,89.87,103.46,193.85,193.50,190.77,191.14,27.64,"7:2","0:0","6:14","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2018-12-31 13:20:48,10493.80,10161.60,10769.20,10178.70,10502.00,9811.10,10055.60,9780.40,9963.50,9664.20,10573.80,10818.80,9801.20,10294.50,9283.90,10140.50,6239.60,7671.90,10188.30,10562.30,20.64,20.92,20.26,19.80,19.59,21.28,19.95,19.34,13.86,20.62,4.08,3.18,4.02,3.11,89.60,96.11,92.62,12.13,91.05,105.22,196.96,196.53,193.71,193.99,27.71,"7:1","0:0","6:15","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-01 23:50:54,17438.60,16757.60,17855.50,16142.90,17692.10,16327.80,16745.20,16185.40,16674.10,15525.50,16772.00,17097.90,15471.30,16287.00,14660.50,16016.10,9716.70,11946.20,15849.20,16510.60,34.17,33.97,33.92,32.88,32.14,33.69,31.53,30.53,21.61,32.22,6.44,5.06,6.62,4.91,88.70,100.15,94.01,19.59,150.96,165.72,317.67,317.36,312.74,312.86,26.13,"7:1","18:8","10:43","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-02 23:50:56,15870.20,15121.90,16110.80,14653.20,15820.70,14683.60,15054.20,14550.90,15064.60,14087.00,15163.10,15416.00,13958.60,14700.00,13207.60,14388.80,8718.00,10765.20,14362.30,14963.00,30.99,30.76,30.45,29.59,29.12,30.46,28.50,27.50,19.45,29.23,5.91,4.70,6.05,4.56,86.29,97.29,91.41,17.70,136.24,149.79,286.66,286.69,282.54,282.76,27.39,"7:1","18:8","10:41","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-03 23:51:02,15999.80,15150.50,15951.40,14817.40,15725.20,14744.00,15143.20,14585.10,15132.10,14604.60,15343.10,15566.90,14132.10,14879.20,13398.80,14771.90,8814.30,10962.10,14567.50,15147.00,31.14,30.76,30.41,29.71,29.69,30.78,28.84,28.07,19.74,29.61,5.90,4.69,6.06,4.55,87.73,98.03,92.53,17.86,136.89,151.85,289.44,289.38,285.18,285.25,26.57,"7:6","18:9","10:37","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-04 23:50:54,15806.90,14888.10,15791.70,14650.30,15438.90,14432.90,14770.80,14269.60,14825.10,14606.20,15035.20,15261.00,13803.90,14550.00,13078.50,14439.80,8596.50,10719.00,14327.30,14839.60,30.69,30.44,29.82,29.03,29.39,30.18,28.20,27.43,19.29,29.07,5.79,4.61,5.94,4.46,87.47,98.14,92.43,17.54,134.72,148.82,284.13,284.16,280.03,280.26,26.44,"7:5","18:9","10:38","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-05 23:50:52,15431.50,14560.70,15236.80,14251.70,15074.70,14095.90,13965.30,13970.50,14375.80,13767.00,14732.00,14942.60,13540.70,14292.50,12800.20,14106.90,8804.80,10778.20,14160.90,14538.90,29.99,29.48,29.13,27.93,28.11,29.57,27.68,26.83,19.55,28.61,5.61,4.50,5.74,4.37,88.14,97.25,92.41,17.13,130.40,146.49,277.43,277.49,273.47,273.62,25.86,"7:8","18:8","10:38","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-06 23:50:48,14813.40,13977.70,14612.30,14057.70,14622.40,13527.70,13939.90,13376.40,13861.70,13275.00,14247.40,14494.00,13064.40,13808.00,12363.70,13617.80,8667.70,10398.30,13780.00,14065.10,28.79,28.66,28.11,27.31,27.11,28.64,26.73,25.91,19.04,27.76,5.41,4.36,5.52,4.24,88.23,96.89,92.29,16.58,125.94,142.14,268.57,268.66,264.72,265.00,25.58,"7:7","18:9","10:36","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-07 23:50:49,15597.40,14601.20,15387.30,14917.20,15384.20,14172.40,14614.40,13995.50,14689.00,14464.60,14987.00,15353.80,13755.30,14514.00,13018.90,14364.90,9143.30,10925.40,14482.20,14822.30,30.20,30.30,29.51,28.60,29.13,30.23,28.12,27.30,20.04,29.21,5.60,4.54,5.74,4.37,89.23,98.06,93.38,17.49,132.83,149.81,283.19,283.28,279.14,279.38,24.29,"7:8","18:11","10:38","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
2019-01-08 23:50:49,16903.00,15731.50,16376.20,16009.00,16578.30,15304.90,15978.90,14957.50,15975.00,14904.80,15951.10,16338.10,14647.30,15446.90,13864.00,15294.10,9777.10,11568.00,15436.30,15789.20,32.63,32.38,31.82,30.92,30.84,32.15,29.92,29.05,21.31,31.11,6.05,4.87,6.27,4.68,88.70,98.26,93.16,18.69,142.59,159.54,302.83,302.77,298.38,298.50,25.04,"7:7","18:12","10:40","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0","0:0"
